Ticker,Volume,Market Capitalization,Sector,Country,Number of Employees,Industry,Exchange
AAPL,46359716,1605699596400,Electronic Technology,United States,137000,Telecommunications Equipment,NASDAQ
MSFT,39826989,1524042300000,Technology Services,United States,,Packaged Software,NASDAQ
AMZN,5632413,1500772094160,Retail Trade,United States,798000,Internet Retail,NASDAQ
GOOG,1544404,1032031929858,Technology Services,United States,118899,Internet Software/Services,NASDAQ
GOOGL,1495381,1029533542521,Technology Services,United States,118899,Internet Software/Services,NASDAQ
FB,18325813,657835290722,Technology Services,United States,44942,Internet Software/Services,NASDAQ
BRK.B,5143693,472690894500,Finance,United States,391500,Multi-Line Insurance,NYSE
BRK.A,343,472433310525,Finance,United States,391500,Multi-Line Insurance,NYSE
V,7160336,415477592062,Finance,United States,19500,Finance/Rental/Leasing,NYSE
JNJ,5405867,390235470800,Health Technology,United States,132200,Pharmaceuticals: Major,NYSE
WMT,4345783,371665118000,Retail Trade,United States,2200000,Food Retail,NYSE
PG,6014523,311831614400,Consumer Non-Durables,United States,97000,Household/Personal Care,NYSE
MA,2500686,308160263720,Finance,United States,18600,Finance/Rental/Leasing,NYSE
JPM,12744151,299461125600,Finance,United States,256981,Major Banks,NYSE
RHHVF,671,298688795884,Health Technology,Switzerland,97735,Pharmaceuticals: Major,OTC
RHHBF,272,295065114249,Health Technology,Switzerland,97735,Pharmaceuticals: Major,OTC
HD,2984507,285346211200,Retail Trade,United States,415700,Home Improvement Chains,NYSE
UNH,2415759,285263220200,Health Services,United States,325000,Managed Health Care,NYSE
TSLA,19396616,262819492000,Consumer Durables,United States,48016,Motor Vehicles,NASDAQ
NVDA,11832300,250784700000,Electronic Technology,United States,13775,Semiconductors,NASDAQ
VZ,17981683,235245300000,Communications,United States,135000,Major Telecommunications,NYSE
INTC,182269902,214198060000,Electronic Technology,United States,110800,Semiconductors,NASDAQ
DIS,8233263,212435414700,Consumer Services,United States,223000,Media Conglomerates,NYSE
NFLX,7746247,211885656750,Consumer Services,United States,8600,Cable/Satellite TV,NASDAQ
BAC,50217643,211251103500,Finance,United States,208000,Major Banks,NYSE
T,38727179,210686250000,Communications,United States,246000,Major Telecommunications,NYSE
PFE,32135188,209194897800,Health Technology,United States,88300,Pharmaceuticals: Major,NYSE
KO,16196843,208285885600,Consumer Non-Durables,United States,86200,Beverages: Non-Alcoholic,NYSE
ADBE,1901029,206404646150,Technology Services,United States,22634,Packaged Software,NASDAQ
PYPL,6256092,202613049600,Technology Services,United States,23200,Data Processing Services,NASDAQ
CMCSA,21926089,197856092156,Consumer Services,United States,190000,Cable/Satellite TV,NASDAQ
CSCO,16983627,195914720000,Technology Services,United States,75900,Information Technology Services,NASDAQ
MRK,8653360,194608110000,Health Technology,United States,71000,Pharmaceuticals: Major,NYSE
PEP,3300145,188392757800,Consumer Non-Durables,United States,267000,Beverages: Non-Alcoholic,NASDAQ
XOM,16415314,183631160300,Energy Minerals,United States,74900,Integrated Oil,NYSE
ABT,4534668,175027707500,Health Technology,United States,107000,Medical Specialties,NYSE
ABBV,5169385,171140837400,Health Technology,United States,30000,Pharmaceuticals: Major,NYSE
ORCL,8939667,170772042000,Technology Services,United States,135000,Packaged Software,NYSE
CRM,3908386,169530167880,Technology Services,United States,49000,Packaged Software,NYSE
CVX,6620464,168270907400,Energy Minerals,United States,48200,Integrated Oil,NYSE
TMO,1323619,160500187380,Health Technology,United States,75000,Medical Specialties,NYSE
NKE,5638435,153060618600,Consumer Non-Durables,United States,75400,Apparel/Footwear,NYSE
LLY,2247922,152685842520,Health Technology,United States,33625,Pharmaceuticals: Major,NYSE
MCD,2200026,147759448320,Consumer Services,United States,205000,Restaurants,NYSE
AMGN,2187982,145873491060,Health Technology,United States,23400,Biotechnology,NASDAQ
COST,1423600,143839688720,Retail Trade,United States,254000,Specialty Stores,NASDAQ
ACN,1542280,140879463680,Technology Services,Ireland,492000,Information Technology Services,NYSE
DHR,3115197,138526295430,Health Technology,United States,60000,Medical Specialties,NYSE
NEE,1929067,137168362500,Utilities,United States,13900,Electric Utilities,NYSE
CHTR,587742,131552577120,Consumer Services,United States,95100,Cable/Satellite TV,NASDAQ
BMY,12531912,130896616500,Health Technology,United States,30000,Pharmaceuticals: Major,NYSE
TMUS,4989983,129987284000,Communications,United States,53000,Wireless Telecommunications,NASDAQ
MDT,4071858,129234255000,Health Technology,Ireland,90000,Medical Specialties,NYSE
LIN,1304378,128181902950,Process Industries,United Kingdom,79886,Chemicals: Specialty,NYSE
AVGO,1563403,122984151150,Electronic Technology,United States,19000,Semiconductors,NASDAQ
PM,5694982,119665440500,Consumer Non-Durables,United States,73500,Tobacco,NYSE
UNP,2720326,119509396160,Transportation,United States,37483,Railroads,NYSE
TXN,5077126,118733820720,Electronic Technology,United States,29768,Semiconductors,NASDAQ
IBM,3531076,111687934680,Technology Services,United States,383800,Information Technology Services,NYSE
LOW,3740089,111008091090,Retail Trade,United States,320000,Home Improvement Chains,NYSE
SHOP,2418790,109009484124,Retail Trade,Canada,5000,Internet Retail,NYSE
WFC,39357026,108180696000,Finance,United States,259800,Major Banks,NYSE
